order_id,customer_id,purchase_date,item_category,item_name,quantity,unit_price,total_price,payment_method,customer_type,purchase_channel,promo_discount,promo_code
ORD13453,7556,2024-12-22,Home Décor,Park Poster,5,136.89,684.45,Credit Card,One-Time Buyer,Online,True,NEWYEAR25
ORD31238,1300,2024-11-24,Toys,Park Puzzle,9,21.19,190.67,PayPal,Season Passholder,Online,True,
ORD50052,4365,2024-12-28,Accessories,Keychain,5,142.56,712.78,Credit Card,One-Time Buyer,Online,True,
ORD83074,2263,2024-11-15,Accessories,Snow Globe,5,108.16,540.8,Credit Card,Season Passholder,In-Person,True,NEWYEAR25
ORD34458,9357,2024-11-18,Gift Cards,$25 Gift Card,7,44.3,310.08,PayPal,Season Passholder,Online,True,
ORD21347,7810,2024-12-30,Gift Cards,$25 Gift Card,6,180.42,1082.54,Credit Card,Season Passholder,In-Person,False,
ORD12966,6635,2024-11-06,Accessories,Snow Globe,7,111.24,778.7,Credit Card,Gift Purchaser,In-Person,False,
ORD71761,4576,2025-01-01,Gift Cards,$50 Gift Card,3,53.36,160.08,Credit Card,Season Passholder,Online,False,
ORD57220,3103,2024-11-26,Plush,Lobster Plush,1,73.19,73.19,Gift Card,Season Passholder,Online,False,
ORD34521,2256,2024-11-01,Gift Cards,$100 Gift Card,7,220.43,1542.98,Gift Card,One-Time Buyer,In-Person,False,
ORD44485,4984,2024-12-11,Gift Cards,$100 Gift Card,1,154.77,154.77,PayPal,Season Passholder,Online,False,
ORD10003,2524,2024-12-07,Toys,Park Puzzle,4,65.79,263.15,Credit Card,Season Passholder,In-Person,False,
ORD13642,9270,2024-11-05,Apparel,Winter Beanie,8,48.89,391.12,Gift Card,One-Time Buyer,Online,True,NEWYEAR25
ORD52516,5325,2024-12-22,Home Décor,Limited Edition Ornament,7,50.52,353.66,Gift Card,One-Time Buyer,In-Person,True,
ORD85087,4440,2025-01-10,Toys,Action Figure,3,56.37,169.1,PayPal,Gift Purchaser,In-Person,False,
ORD47866,7660,2024-11-28,Gift Cards,$50 Gift Card,7,229.11,,Gift Card,Gift Purchaser,Online,False,
ORD38596,6229,2024-11-03,Accessories,Pin Set,2,192.84,385.69,Credit Card,One-Time Buyer,Online,True,NEWYEAR25
